Experiment,NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_MaskGen_ms,T_ClientTotal_ms
ScalingClients,10,65536,131072,0,81.9353,1.35767,83.293,169.493,103.577,273.07
ScalingClients,10,65536,131072,1,72.248,0.096297,72.3443,192.102,105.945,298.047
ScalingClients,10,65536,131072,2,72.1661,0.084615,72.2508,171.529,103.666,275.195
ScalingClients,10,65536,131072,3,72.663,0.080902,72.7439,175.038,101.279,276.317
ScalingClients,10,65536,131072,4,70.4397,0.084542,70.5243,171.977,100.773,272.751
ScalingClients,10,65536,131072,5,68.7888,0.080806,68.8696,169.413,99.0402,268.453
ScalingClients,10,65536,131072,6,70.5019,0.087423,70.5894,180.704,104.027,284.731
ScalingClients,10,65536,131072,7,71.7146,0.081218,71.7958,172.134,100.55,272.684
ScalingClients,10,65536,131072,8,71.7999,0.081007,71.8809,178.463,102.467,280.93
ScalingClients,10,65536,131072,9,70.5787,0.096445,70.6752,178.133,101.255,279.388
ScalingClients,50,65536,131072,0,69.5681,0.088329,69.6565,174.859,568.802,743.661
ScalingClients,50,65536,131072,1,68.546,0.083491,68.6295,171.267,560.348,731.615
ScalingClients,50,65536,131072,2,69.471,0.088075,69.559,173.308,578.204,751.513
ScalingClients,50,65536,131072,3,69.0461,0.087565,69.1336,170.857,563.613,734.47
ScalingClients,50,65536,131072,4,68.6535,0.086122,68.7396,169.775,558.062,727.837
ScalingClients,50,65536,131072,5,68.1982,0.085465,68.2836,168.146,551.017,719.163
ScalingClients,50,65536,131072,6,72.1603,0.094228,72.2545,168.284,557.298,725.582
ScalingClients,50,65536,131072,7,64.6247,0.091395,64.7161,171.074,568.346,739.42
ScalingClients,50,65536,131072,8,64.4713,0.08992,64.5612,183.064,569.518,752.582
ScalingClients,50,65536,131072,9,63.9154,0.080829,63.9962,171.391,563.446,734.837
ScalingClients,50,65536,131072,10,64.5042,0.082388,64.5866,181.61,559.422,741.032
ScalingClients,50,65536,131072,11,66.3857,0.10089,66.4866,178.678,569.959,748.637
ScalingClients,50,65536,131072,12,65.8643,0.090896,65.9552,177.65,558.542,736.192
ScalingClients,50,65536,131072,13,66.7909,0.093326,66.8842,178.786,554.634,733.42
ScalingClients,50,65536,131072,14,67.8079,0.091204,67.8991,171.527,569.066,740.593
ScalingClients,50,65536,131072,15,65.3766,0.087459,65.4641,173.104,564.246,737.35
ScalingClients,50,65536,131072,16,65.1141,0.086303,65.2004,179.651,559.643,739.294
ScalingClients,50,65536,131072,17,67.2907,0.085253,67.376,178.368,541.894,720.262
ScalingClients,50,65536,131072,18,74.7146,0.090504,74.8051,174.525,549.156,723.68
ScalingClients,50,65536,131072,19,75.0364,0.085879,75.1223,165.694,565.507,731.201
ScalingClients,50,65536,131072,20,73.3676,0.086249,73.4539,174.96,-1088.78,-913.819
ScalingClients,50,65536,131072,21,72.9732,0.084192,73.0574,176.545,557.862,734.407
ScalingClients,50,65536,131072,22,76.527,0.089464,76.6165,175.82,568.853,744.672
